idname,roottype,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14
34,sum_root,0,0.14865604,0.71762735,0.6535432,1.1880597,1.1085348,1.71549243,2.20545604,2.35468379,2.765579,2.57962791,2.28592566,2.54975335,2.466390235
34,Lateralroot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,primaryroot,0,0,0.46550453,1.01490963,2.64814404,4.26207558,3.79762275,3.52175334,6.23276247,5.26421605,6.39787633,6.5388875,6.62508105,6.99692772
34,sum_root,0,0,0.46550453,1.01490963,2.64814404,4.26207558,3.79762275,3.52175334,6.23276247,5.26421605,6.39787633,6.5388875,6.62508105,6.99692772
39,Lateralroot,0.73636557,2.17477275,4.07434358,6.27457958,9.57148286,12.3831514,14.29563148,13.62787934,14.85894144,15.10632463,14.76702751,14.99688539,16.06490683,16.20585559
39,primaryroot,2.8374845,3.41733274,6.27372857,10.03223932,13.96687594,15.66185702,15.47331609,16.31219966,15.9992624,16.53595398,16.41965269,16.43017317,16.70886473,16.7464815
39,sum_root,3.57385007,5.59210549,10.34807215,16.3068189,23.5383588,28.04500842,29.76894757,29.940079,30.85820384,31.64227861,31.1866802,31.42705856,32.77377156,32.95233709
40,Lateralroot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,primaryroot,0,0.25916687,0.4459775,1.4128864,2.1847017,2.6979365,3.051892,3.1858544,3.2482738,3.0560298,3.3522756,3.4445412,3.4105303,3.4105303
40,sum_root,0,0.25916687,0.4459775,1.4128864,2.1847017,2.6979365,3.051892,3.1858544,3.2482738,3.0560298,3.3522756,3.4445412,3.4105303,3.4105303
42,Lateralroot,0,0,0.28731264,0.92267158,0.90681336,1.74682527,3.672065704,3.823990704,4.298447761,4.38733527,4.124139378,4.6869791,4.135764489,5.124041041
42,primaryroot,0,1.1652613,2.95886171,4.58186651,5.89036824,6.837384586,7.23829015,9.01127086,7.46091304,7.90801286,8.13511479,8.3869439,9.25513615,8.38068651
42,sum_root,0,1.1652613,3.24617435,5.50453809,6.7971816,8.584209856,10.91035585,12.83526156,11.7593608,12.29534813,12.25925417,13.073923,13.39090064,13.50472755
42,Lateralroot,0,0,0,0.962287074,2.135642607,5.602689475,11.08011156,15.84860268,17.81485405,17.83014288,20.24820208,23.3464346,22.70485466,24.60437363
42,primaryroot,0,0.47641692,2.5173235,4.70814005,7.41696684,7.43173704,10.0394998,10.04199835,10.27900246,9.89227491,10.7221585,10.221512,10.0294589,10.150435
42,sum_root,0,0.47641692,2.5173235,5.670427124,9.552609447,13.03442652,21.11961136,25.89060103,28.09385651,27.72241779,30.97036058,33.5679466,32.73431356,34.75480863
50,Lateralroot,0,0,0,0,0.718146145,0.996048246,1.68942069,2.957492031,4.26676856,5.33627147,5.65428519,3.86023135,5.62840006,5.505799484
50,primaryroot,0.14128782,2.6722129,6.4052648,7.1107293,10.0835984,10.7630165,11.6048943,12.4752829,11.74314924,12.3023361,12.2932904,13.22086674,12.5067963,11.92716
50,sum_root,0.14128782,2.6722129,6.4052648,7.1107293,10.80174455,11.75906475,13.29431499,15.43277493,16.0099178,17.63860757,17.94757559,17.08109809,18.13519636,17.43295948
50,Lateralroot,0,0,0,0,0,0,0,2.91766782,4.60297227,11.57683507,14.01059339,15.35389954,15.36833842,54.22114532
50,primaryroot,0,2.2146112,3.47049675,4.761846,4.2093029,4.8881068,4.6116184,5.6893151,8.5824742,8.9573223,9.4426596,8.8476091,8.9835888,28.58873
50,sum_root,0,2.2146112,3.47049675,4.761846,4.2093029,4.8881068,4.6116184,8.60698292,13.18544647,20.53415737,23.45325299,24.20150864,24.35192722,82.80987532
52,Lateralroot,0,0,0,0,0,0,0,0,1.62278715,3.189743699,4.562624742,5.058963245,7.233773531,6.745333988
52,primaryroot,0,0,0,0,0,0,3.6383537,3.8592275,5.126769,6.1118639,5.8524155,7.854516,6.2225268,5.9433272
52,sum_root,0,0,0,0,0,0,3.6383537,3.8592275,6.74955615,9.301607599,10.41504024,12.91347925,13.45630033,12.68866119
52,Lateralroot,0,0,0,0.545834629,0.401524874,0.32479096,0.695625111,1.306347106,1.83339433,1.691025188,1.857528636,3.066434172,2.845763735,3.004307214
52,primaryroot,0.79568996,1.46091354,2.2273841,3.23402429,4.36412983,5.47751614,6.51793926,7.28077454,6.93252436,7.63946401,7.230120675,6.79664588,7.82310782,7.41420439
52,sum_root,0.79568996,1.46091354,2.2273841,3.779858919,4.765654704,5.8023071,7.213564371,8.587121646,8.76591869,9.330489198,9.087649311,9.863080052,10.66887156,10.4185116
54,Lateralroot,0,0,0,0.193704496,0.24,0.288034017,1.400715172,2.06367461,2.77737493,4.53253878,8.83420081,21.50478875,20.14373132,20.00070211
54,primaryroot,0,1.3561145,4.964425,7.6574546,11.2885356,14.29218,17.801021,22.327657,25.140509,29.644963,32.227306,29.125931,32.888217,30.396254
54,sum_root,0,1.3561145,4.964425,7.851159096,11.2885356,14.58021402,19.20173617,24.39133161,27.91788393,34.17750178,41.06150681,50.63071975,53.03194832,50.39695611
56,Lateralroot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,primaryroot,0.13065359,0.27521429,1.1060686,1.22637507,1.36614613,1.6744223,2.0288205,2.03488384,2.0770519,2.2825556,2.1063627,2.1063627,2.1063627,2.1063627
56,sum_root,0.13065359,0.27521429,1.1060686,1.22637507,1.36614613,1.6744223,2.0288205,2.03488384,2.0770519,2.2825556,2.1063627,2.1063627,2.1063627,2.1063627
56,Lateralroot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,primaryroot,0.3344923,0.44898832,1.4511572,1.6781046,1.4383619,1.6609545,1.6320763,1.8534398,1.6597736,1.7359074,1.5687146,1.4276243,1.4276243,1.4276243
56,sum_root,0.3344923,0.44898832,1.4511572,1.6781046,1.4383619,1.6609545,1.6320763,1.8534398,1.6597736,1.7359074,1.5687146,1.4276243,1.4276243,1.4276243
58,Lateralroot,0,0,0,0,0.91466768,0.25031596,0.526664116,0.527585667,3.254392043,9.522900819,12.17128173,12.86203301,15.96627458,14.01255895
58,primaryroot,0,0,0.42038426,2.51100896,6.1436517,9.6155695,12.6815447,14.6490322,17.78192,20.017393,22.874377,24.7719654,27.537034,30.128409
58,sum_root,0,0,0.42038426,2.51100896,7.05831938,9.86588546,13.20820882,15.17661787,21.03631204,29.54029382,35.04565873,37.63399841,43.50330858,44.14096795
58,Lateralroot,0,0,0,0,0,0,0,0.5242311,1.805138132,4.068575226,7.694905939,8.184013236,11.1577584,9.181710746
58,primaryroot,0,0,0.93689508,5.810251,8.2228605,10.4605101,13.1641619,17.3314819,19.5272626,20.2399028,22.1059,24.108248,24.9743352,25.304164
58,sum_root,0,0,0.93689508,5.810251,8.2228605,10.4605101,13.1641619,17.855713,21.33240073,24.30847803,29.80080594,32.29226124,36.1320936,34.48587475
58,Lateralroot,0,0,0,0.28948059,0.49514292,1.28,2.057570822,4.374384801,10.27139493,16.18473783,23.56341266,18.25553167,19.15552577,19.15552577
58,primaryroot,0,0,3.9951339,9.9807688,13.0497349,15.7294237,22.711756,23.1179396,25.8193763,31.873272,35.05691,37.868023,38.4760945,38.4760945
58,sum_root,0,0,3.9951339,10.27024939,13.54487782,15.7294237,24.76932682,27.4923244,36.09077123,48.05800983,58.62032266,56.12355467,57.63162027,57.63162027
63,Lateralroot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,primaryroot,0.21283257,2.6103158,5.1513553,5.5709424,5.770339,5.3365397,5.5073266,5.5582542,4.8578434,4.9948845,5.6771803,5.573419,4.9549136,4.669752
63,sum_root,0.21283257,2.6103158,5.1513553,5.5709424,5.770339,5.3365397,5.5073266,5.5582542,4.8578434,4.9948845,5.6771803,5.573419,4.9549136,4.669752
63,Lateralroot,0,0,0.20228878,0.1660019,0.15418583,0.15594168,0.14584027,0.18246011,0.10328142,0.10998419,0.13157113,0.16096354,0.1330795,0.19854595
63,primaryroot,0.2664198,1.31794582,1.72436251,2.07087311,2.16192805,2.12366394,2.0848796,2.0285292,2.14941004,2.09306293,2.09037529,2.06769216,2.09644479,2.13225517
